"","name","id","date","prcp","tmax","tmin"
"101","CentralPark_NY","USW00094728",2022-04-11,0,16.1,4.4
"102","CentralPark_NY","USW00094728",2022-04-12,18,22.2,10
"103","CentralPark_NY","USW00094728",2022-04-13,0,21.7,12.8
"104","CentralPark_NY","USW00094728",2022-04-14,15,26.1,13.9
"105","CentralPark_NY","USW00094728",2022-04-15,0,21.1,11.1
"106","CentralPark_NY","USW00094728",2022-04-16,51,22.8,6.7
"107","CentralPark_NY","USW00094728",2022-04-17,0,10.6,5
"108","CentralPark_NY","USW00094728",2022-04-18,216,12.2,3.9
"109","CentralPark_NY","USW00094728",2022-04-19,315,10,3.9
"110","CentralPark_NY","USW00094728",2022-04-20,0,15.6,5.6
"111","CentralPark_NY","USW00094728",2022-04-21,0,15,6.7
"112","CentralPark_NY","USW00094728",2022-04-22,0,21.1,11.7
"113","CentralPark_NY","USW00094728",2022-04-23,0,18.3,10.6
"114","CentralPark_NY","USW00094728",2022-04-24,0,17.2,8.9
"115","CentralPark_NY","USW00094728",2022-04-25,0,14.4,7.8
"116","CentralPark_NY","USW00094728",2022-04-26,5,15.6,11.1
"117","CentralPark_NY","USW00094728",2022-04-27,0,14.4,5
"118","CentralPark_NY","USW00094728",2022-04-28,0,14.4,4.4
"119","CentralPark_NY","USW00094728",2022-04-29,0,17.2,5
"120","CentralPark_NY","USW00094728",2022-04-30,0,20,6.7
"121","CentralPark_NY","USW00094728",2022-05-01,0,20.6,8.3
"122","CentralPark_NY","USW00094728",2022-05-02,58,13.3,10.6
"123","CentralPark_NY","USW00094728",2022-05-03,0,16.7,10.6
"124","CentralPark_NY","USW00094728",2022-05-04,20,18.3,10
"125","CentralPark_NY","USW00094728",2022-05-05,0,23.3,13.3
"126","CentralPark_NY","USW00094728",2022-05-06,175,16.1,9.4
"127","CentralPark_NY","USW00094728",2022-05-07,234,10,7.2
"128","CentralPark_NY","USW00094728",2022-05-08,0,14.4,7.2
"129","CentralPark_NY","USW00094728",2022-05-09,0,21.1,8.3
"130","CentralPark_NY","USW00094728",2022-05-10,0,22.8,10.6
"131","CentralPark_NY","USW00094728",2022-05-11,0,23.9,11.7
"132","CentralPark_NY","USW00094728",2022-05-12,0,23.9,14.4
"133","CentralPark_NY","USW00094728",2022-05-13,8,22.2,13.9
"134","CentralPark_NY","USW00094728",2022-05-14,56,22.2,15.6
"135","CentralPark_NY","USW00094728",2022-05-15,25,24.4,15.6
"136","CentralPark_NY","USW00094728",2022-05-16,30,23.9,16.1
"137","CentralPark_NY","USW00094728",2022-05-17,0,25,13.9
"138","CentralPark_NY","USW00094728",2022-05-18,3,22.2,12.8
"139","CentralPark_NY","USW00094728",2022-05-19,185,18.9,12.2
"140","CentralPark_NY","USW00094728",2022-05-20,102,20.6,12.8
"141","CentralPark_NY","USW00094728",2022-05-21,0,32.2,16.7
"142","CentralPark_NY","USW00094728",2022-05-22,0,31.7,22.2
"143","CentralPark_NY","USW00094728",2022-05-23,0,22.8,16.1
"144","CentralPark_NY","USW00094728",2022-05-24,0,19.4,13.9
"145","CentralPark_NY","USW00094728",2022-05-25,0,21.1,11.7
"146","CentralPark_NY","USW00094728",2022-05-26,0,21.1,12.2
"147","CentralPark_NY","USW00094728",2022-05-27,69,26.7,18.3
"148","CentralPark_NY","USW00094728",2022-05-28,183,23.3,17.2
"149","CentralPark_NY","USW00094728",2022-05-29,0,25,15
"150","CentralPark_NY","USW00094728",2022-05-30,0,28.9,17.2
"151","CentralPark_NY","USW00094728",2022-05-31,0,33.9,18.3
"152","CentralPark_NY","USW00094728",2022-06-01,180,22.2,15.6
"153","CentralPark_NY","USW00094728",2022-06-02,114,26.1,16.7
"154","CentralPark_NY","USW00094728",2022-06-03,0,24.4,16.7
"155","CentralPark_NY","USW00094728",2022-06-04,0,26.7,16.1
"156","CentralPark_NY","USW00094728",2022-06-05,0,25,13.9
"157","CentralPark_NY","USW00094728",2022-06-06,0,26.7,17.2
"158","CentralPark_NY","USW00094728",2022-06-07,20,25.6,17.2
"159","CentralPark_NY","USW00094728",2022-06-08,8,27.8,18.9
"160","CentralPark_NY","USW00094728",2022-06-09,211,27.2,18.3
"161","CentralPark_NY","USW00094728",2022-06-10,0,25,17.2
"162","CentralPark_NY","USW00094728",2022-06-11,0,23.3,18.9
"163","CentralPark_NY","USW00094728",2022-06-12,13,22.2,17.2
"164","CentralPark_NY","USW00094728",2022-06-13,0,29.4,20
"165","CentralPark_NY","USW00094728",2022-06-14,0,27.2,20
"166","CentralPark_NY","USW00094728",2022-06-15,0,28.3,18.9
"167","CentralPark_NY","USW00094728",2022-06-16,81,21.7,16.1
"168","CentralPark_NY","USW00094728",2022-06-17,0,31.1,20.6
"169","CentralPark_NY","USW00094728",2022-06-18,0,23.9,14.4
"170","CentralPark_NY","USW00094728",2022-06-19,0,22.8,12.2
"171","CentralPark_NY","USW00094728",2022-06-20,0,25.6,13.9
"172","CentralPark_NY","USW00094728",2022-06-21,15,26.7,17.2
"173","CentralPark_NY","USW00094728",2022-06-22,5,19.4,16.7
"174","CentralPark_NY","USW00094728",2022-06-23,20,23.3,16.1
"175","CentralPark_NY","USW00094728",2022-06-24,0,27.2,17.2
"176","CentralPark_NY","USW00094728",2022-06-25,0,32.2,20.6
"177","CentralPark_NY","USW00094728",2022-06-26,0,31.7,23.3
"178","CentralPark_NY","USW00094728",2022-06-27,74,25,20.6
"179","CentralPark_NY","USW00094728",2022-06-28,0,26.1,18.9
"180","CentralPark_NY","USW00094728",2022-06-29,0,28.9,18.9
"181","CentralPark_NY","USW00094728",2022-06-30,0,30,20.6
"182","CentralPark_NY","USW00094728",2022-07-01,0,32.8,22.8
"183","CentralPark_NY","USW00094728",2022-07-02,0,30.6,22.8
"184","CentralPark_NY","USW00094728",2022-07-03,0,31.1,22.8
"185","CentralPark_NY","USW00094728",2022-07-04,0,29.4,18.3
"186","CentralPark_NY","USW00094728",2022-07-05,23,30.6,21.1
"187","CentralPark_NY","USW00094728",2022-07-06,0,29.4,21.7
